"","filename","biggest_patch_size","n_patches","nned"
"53","SMP4_Black-faced_Cormorant_Phalacrocorax_fuscescens_Spp10098_RF_225m_vg94",46023.1875,1,770.370873578461
"54","SMP4_Black-faced_Cuckoo-shrike_Coracina_novaehollandiae_Spp10424_RF_225m_vg94",15828296.0625,5,715.887437657705
"55","SMP4_Black-faced_Monarch_Monarcha_melanopsis_Spp10373_RF_225m_vg94",1028259.5625,5,720.573450317055
"56","SMP4_Black-faced_Woodswallow_Artamus_cinereus_Spp10546_RF_225m_vg94",8181040.5,4,605.48584531028
"57","SMP4_Black-fronted_Dotterel_Elseyornis_melanops_Spp10144_RF_225m_vg94",7848824.0625,8,705.042357322081
"58","SMP4_Black-shouldered_Kite_Elanus_axillaris_Spp10232_RF_225m_vg94",15187317.75,4,688.64484282468
"59","SMP4_Black-tailed_Native-hen_Tribonyx_ventralis_Spp10055_RF_225m_vg94",9600950.25,11,724.822216171487
"60","SMP4_Blotched_Blue-tongued_Lizard_Tiliqua_nigrolutea_Spp12578_RF_225m_vg94",7789091.625,12,678.849568264401
"61","SMP4_Blue_Bonnet_Northiella_haematogaster_Spp10297_RF_225m_vg94",3139458.75,4,627.091735000953
"62","SMP4_Blue_Mountains_Tree_Frog_Litoria_citropa_Spp13175_RF_225m_vg94",805985.4375,3,732.457425129349
"63","SMP4_Blue-billed_Duck_Oxyura_australis_Spp10216_RF_225m_vg94",159762.375,17,1101.7846629129
"64","SMP4_Blue-faced_Honeyeater_Entomyzon_cyanotis_Spp10641_RF_225m_vg94",5352231.9375,14,751.000958315799
"65","SMP4_Blue-winged_Parrot_Neophema_chrysostoma_Spp10306_RF_225m_vg94",10106096.625,14,649.172759632881
"66","SMP4_Booroolong_Tree_Frog_Litoria_booroolongensis_Spp13168_RF_225m_vg94",2045.25,0,708.215071469388
"67","SMP4_Bougainvilles_Skink_Lerista_bougainvillii_Spp12475_RF_225m_vg94",2193636.9375,25,738.5058447837
"68","SMP4_Boulengers_Skink_Morethia_boulengeri_Spp12526_RF_225m_vg94",7423194.375,6,660.167964569369
"69","SMP4_Broad-shelled_Turtle_Chelodina_expansa_Spp5133_RF_225m_vg94",48554.4375,6,732.739446067984
"70","SMP4_Broad-toothed_Rat_Mastacomys_fuscus_mordicus_Spp11438_RF_225m_vg94",233467.3125,9,689.307659556102
"71","SMP4_Brolga_Grus_rubicunda_Spp10177_RF_225m_vg94",698144.0625,14,756.466143177353
"72","SMP4_Brookss_Striped_Skink_Ctenotus_taeniatus_Spp62933_RF_225m_vg94",451443.375,7,735.596445098014
"73","SMP4_Brown_Cuckoo-Dove_Macropygia_amboinensis_Spp10029_RF_225m_vg94",61114.5,1,567.012737469554
"74","SMP4_Brown_Falcon_Falco_berigora_Spp10239_RF_225m_vg94",17286316.3125,3,629.857250161546
"75","SMP4_Brown_Gerygone_Gerygone_mouki_Spp10454_RF_225m_vg94",1059758.4375,4,778.043726147906
"76","SMP4_Brown_Goshawk_Accipiter_fasciatus_Spp10221_RF_225m_vg94",11407999.5,7,730.155786444929
"77","SMP4_Brown_Quail_Coturnix_ypsilophora_australis_Spp10010_RF_225m_vg94",11480018.625,10,728.528974276562
"78","SMP4_Brown_Songlark_Cincloramphus_cruralis_Spp10508_RF_225m_vg94",13882615.3125,6,697.555219106944
"79","SMP4_Brown_Thornbill_Acanthiza_pusilla_Spp10475_RF_225m_vg94",9528227.4375,13,766.414238685787
"80","SMP4_Brown_Toadlet_Pseudophryne_bibronii_Spp13117_RF_225m_vg94",3020216.625,9,672.28462724634
"81","SMP4_Brown_Treecreeper_south-eastern_ssp-_Climacteris_picumnus_victoriae_Spp60555_RF_225m_vg94",6970029.75,8,719.096953161263
"82","SMP4_Brown-headed_Honeyeater_Melithreptus_brevirostris_Spp10583_RF_225m_vg94",9532591.3125,5,723.243152788179
"83","SMP4_Brush_Bronzewing_Phaps_elegans_Spp10035_RF_225m_vg94",5781876.1875,19,743.360652888961
"84","SMP4_Brush_Cuckoo_Cacomantis_variolosus_Spp10339_RF_225m_vg94",5259066.75,15,775.872829648372
"85","SMP4_Brush-tailed_Phascogale_Phascogale_tapoatafa_Spp11017_RF_225m_vg94",1719792,12,735.773785187428
"86","SMP4_Brush-tailed_Rock-wallaby_Petrogale_penicillata_Spp11215_RF_225m_vg94",8459.4375,0,766.967252109481
"87","SMP4_Budgerigar_Melopsittacus_undulatus_Spp10310_RF_225m_vg94",8256355.3125,2,604.636721178145
"88","SMP4_Buff-banded_Rail_Gallirallus_philippensis_Spp10046_RF_225m_vg94",295963.875,8,899.026232603317
"89","SMP4_Buff-rumped_Thornbill_Acanthiza_reguloides_Spp10484_RF_225m_vg94",7848758.25,11,707.647833704876
"90","SMP4_Burtons_Snake-Lizard_Lialis_burtonis_Spp12170_RF_225m_vg94",761870.8125,12,768.277632173393
"91","SMP4_Bush_Rat_Rattus_fuscipes_Spp11395_RF_225m_vg94",1321621.3125,19,734.032929979341
"92","SMP4_Bush_Stone-curlew_Burhinus_grallarius_Spp10174_RF_225m_vg94",2190634.875,6,924.247935604258
"93","SMP4_Butlers_Legless_Lizard_Delma_butleri_Spp12167_RF_225m_vg94",751776.1875,4,759.647837131897
"94","SMP4_Bynoes_Gecko_Heteronotia_binoei_Spp12105_RF_225m_vg94",782880.1875,2,777.375197429938
"95","SMP4_Cape_Barren_Goose_Cereopsis_novaehollandiae_Spp10198_RF_225m_vg94",1294162.3125,10,929.958607086741
"96","SMP4_Carnabys_Wall_Skink_Cryptoblepharus_pannosus_Spp12326_RF_225m_vg94",3317704.3125,7,717.113132150809
"97","SMP4_Carpet_Python_Morelia_spilota_metcalfei_Spp62969_RF_225m_vg94",4437944.4375,6,649.567081383522
"98","SMP4_Caspian_Tern_Hydroprogne_caspia_Spp10112_RF_225m_vg94",22521381.75,3,808.647795320254
"99","SMP4_Cattle_Egret_Ardea_ibis_Spp10977_RF_225m_vg94",8986550.0625,8,758.728372974018
"100","SMP4_Central_Bearded_Dragon_Pogona_vitticeps_Spp12204_RF_225m_vg94",2930367.375,2,775.883823373685
"101","SMP4_Channel-billed_Cuckoo_Scythrops_novaehollandiae_Spp10348_RF_225m_vg94",858377.25,8,664.028517801107
"102","SMP4_Chestnut_Quail-thrush_Cinclosoma_castanotus_Spp10437_RF_225m_vg94",601814.8125,2,883.216205070395
"103","SMP4_Chestnut_Teal_Anas_castanea_Spp10210_RF_225m_vg94",2269883.25,14,711.112539465854
"104","SMP4_Chestnut-crowned_Babbler_Pomatostomus_ruficeps_Spp10446_RF_225m_vg94",1531446.75,4,859.752273167363
"105","SMP4_Chestnut-rumped_Heathwren_Calamanthus_pyrrhopygius_Spp10498_RF_225m_vg94",343176.75,41,728.930252339662
"106","SMP4_Chestnut-rumped_Thornbill_Acanthiza_uropygialis_Spp10481_RF_225m_vg94",4665807.5625,11,650.809829161718
"107","SMP4_Chocolate_Wattled_Bat_Chalinolobus_morio_Spp11351_RF_225m_vg94",9185369.625,15,698.431538737401
"108","SMP4_Clamorous_Reed_Warbler_Acrocephalus_stentoreus_Spp10524_RF_225m_vg94",2911175.4375,10,652.911531336142
"109","SMP4_Cockatiel_Nymphicus_hollandicus_Spp10274_RF_225m_vg94",10327834.125,6,669.293988412661
"110","SMP4_Collared_Sparrowhawk_Accipiter_cirrhocephalus_Spp10222_RF_225m_vg94",10034512.875,9,705.523673431183
"111","SMP4_Common_Bent-wing_Bat_eastern_ssp-_Miniopterus_schreibersii_oceanensis_Spp61342_RF_225m_vg94",4277103.75,15,743.196665382796
"112","SMP4_Common_Bent-wing_Bat_southern_ssp-_Miniopterus_schreibersii_bassanii_Spp61343_RF_225m_vg94",2581059.9375,2,693.366794166749
"113","SMP4_Common_Blue-tongued_Lizard_Tiliqua_scincoides_Spp12580_RF_225m_vg94",8509414.5,7,709.631908036694
"114","SMP4_Common_Bronzewing_Phaps_chalcoptera_Spp10034_RF_225m_vg94",12411230.0625,4,688.610200552094
"115","SMP4_Common_Brushtail_Possum_Trichosurus_vulpecula_Spp11113_RF_225m_vg94",11168381.25,7,757.283608218168
"116","SMP4_Common_Cicadabird_Coracina_tenuirostris_Spp10429_RF_225m_vg94",3827285.4375,7,765.115683571994
"117","SMP4_Common_Dunnart_Sminthopsis_murina_murina_Spp11061_RF_225m_vg94",3016136.25,16,889.521302193127
"118","SMP4_Common_Froglet_Crinia_signifera_Spp13134_RF_225m_vg94",10421429.625,7,701.613965067259
"119","SMP4_Common_Greenshank_Tringa_nebularia_Spp10158_RF_225m_vg94",99402.1875,6,1145.88909673597
"120","SMP4_Common_Ringtail_Possum_Pseudocheirus_peregrinus_Spp11129_RF_225m_vg94",7875852.75,7,688.729235601039
"121","SMP4_Common_Sandpiper_Actitis_hypoleucos_Spp10157_RF_225m_vg94",429274.6875,5,1207.05418007229
"122","SMP4_Common_Scaly-foot_Pygopus_lepidopodus_Spp12174_RF_225m_vg94",905094,19,809.342857988315
"123","SMP4_Common_Wombat_Vombatus_ursinus_Spp11165_RF_225m_vg94",5597429.0625,6,661.909897891727
"124","SMP4_Copper-tailed_Skink_Ctenotus_taeniolatus_Spp12386_RF_225m_vg94",671955.75,11,619.712206266391
"125","SMP4_Corangamite_Water_Skink_Eulamprus_tympanum_marnieae_Spp62958_RF_225m_vg94",115268.0625,4,1061.11938128269
"126","SMP4_Coventrys_Skink_Niveoscincus_coventryi_Spp12458_RF_225m_vg94",3320468.4375,8,758.962420890459
"127","SMP4_Crescent_Honeyeater_Phylidonyris_pyrrhoptera_Spp10630_RF_225m_vg94",854453.8125,9,795.209194659905
"128","SMP4_Crested_Bellbird_Oreoica_gutturalis_gutturalis_Spp10419_RF_225m_vg94",1533816,9,643.184271804395
"129","SMP4_Crested_Pigeon_Ocyphaps_lophotes_Spp10043_RF_225m_vg94",12508364.25,6,654.857340442546
"130","SMP4_Crested_Shrike-tit_Falcunculus_frontatus_Spp10416_RF_225m_vg94",9526830.1875,10,684.98372065271
"131","SMP4_Crested_Tern_Thalasseus_bergii_Spp10115_RF_225m_vg94",219515.0625,1,2077.022316905
"132","SMP4_Crimson_Chat_Epthianura_tricolor_Spp10449_RF_225m_vg94",4716574.3125,10,691.935962308748
"133","SMP4_Crimson_Rosella_Platycercus_elegans_Spp10282_RF_225m_vg94",10302941.8125,15,744.213576558157
"134","SMP4_Cunninghams_Skink_Egernia_cunninghami_Spp12408_RF_225m_vg94",3894439.5,3,709.734543254751
"135","SMP4_Curl_Snake_Suta_suta_Spp12722_RF_225m_vg94",1072531.125,9,804.088487046033
"136","SMP4_Curlew_Sandpiper_Calidris_ferruginea_Spp10161_RF_225m_vg94",77587.875,6,1414.90401970602
"137","SMP4_Darter_Anhinga_novaehollandiae_Spp10101_RF_225m_vg94",2237417.4375,15,722.648295244483
"138","SMP4_Delicate_Skink_Lampropholis_delicata_Spp12450_RF_225m_vg94",4721054.625,8,638.407000966911
"139","SMP4_Dendys_Toadlet_Pseudophryne_dendyi_Spp13120_RF_225m_vg94",2489788.125,1,609.865016541438
"140","SMP4_Desert_Skink_Liopholis_inornata_Spp12413_RF_225m_vg94",553918.5,5,902.215453662766
"141","SMP4_Diamond_Dove_Geopelia_cuneata_Spp10031_RF_225m_vg94",773043.75,8,742.220012258035
"142","SMP4_Diamond_Firetail_Stagonopleura_guttata_Spp10652_RF_225m_vg94",1400510.25,16,786.024785837414
"143","SMP4_Diamond_Python_Morelia_spilota_spilota_Spp62968_RF_225m_vg94",223463.8125,1,569.933854578151
"144","SMP4_Dollarbird_Eurystomus_orientalis_Spp10318_RF_225m_vg94",4694036.0625,8,774.618397530982
"145","SMP4_Double-banded_Plover_Charadrius_bicinctus_Spp10140_RF_225m_vg94",146574.5625,9,1511.20622843863
"146","SMP4_Double-barred_Finch_Taeniopygia_bichenovii_Spp10655_RF_225m_vg94",1168890.75,2,756.666768485537
"147","SMP4_Dusky_Antechinus_Antechinus_swainsonii_Spp11033_RF_225m_vg94",3328203.9375,12,779.965284606246
"148","SMP4_Dusky_Moorhen_Gallinula_tenebrosa_Spp10056_RF_225m_vg94",6366022.875,7,722.39036243247
"149","SMP4_Dusky_Woodswallow_Artamus_cyanopterus_Spp10547_RF_225m_vg94",12480788.8125,5,764.747503497317
"150","SMP4_Dwarf_Burrowing_Skink_Lerista_timida_Spp12492_RF_225m_vg94",229478.0625,5,875.157923097505
"151","SMP4_Dwarf_Galaxias_Galaxiella_pusilla_Spp4701_RF_225m_vg94",1193702.0625,4,610.793399777971
"152","SMP4_Dwyers_Snake_Parasuta_dwyeri_Spp12726_RF_225m_vg94",144964.6875,7,660.859702611653
"153","SMP4_Eastern_Barred_Bandicoot_Perameles_gunnii_Spp11098_Custom_225m_vg94",1771.875,0,33066.0014132741
"154","SMP4_Eastern_Bristlebird_Dasyornis_brachypterus_brachypterus_Spp10519_RF_225m_vg94",41740.3125,3,948.71416821066
"155","SMP4_Eastern_Broad-nosed_Bat_Scotorepens_orion_Spp11811_RF_225m_vg94",3013351.875,7,664.25813814179
"156","SMP4_Eastern_Brown_Snake_Pseudonaja_textilis_Spp12699_RF_225m_vg94",15481828.6875,3,663.073809854219
"157","SMP4_Eastern_Curlew_Numenius_madagascariensis_Spp10149_RF_225m_vg94",125094.375,4,2146.38036690559
"158","SMP4_Eastern_False_Pipistrelle_Falsistrellus_tasmaniensis_Spp11372_RF_225m_vg94",4198964.0625,16,790.69538034185
"159","SMP4_Eastern_Freetail_Bat_Mormopterus_sp-_2_Spp11839_RF_225m_vg94",9523964.8125,7,662.664128062327
"160","SMP4_Eastern_Great_Egret_Ardea_modesta_Spp10187_RF_225m_vg94",429213.9375,13,949.304892962131
"161","SMP4_Eastern_Grey_Kangaroo_Macropus_giganteus_Spp11265_RF_225m_vg94",10459454.0625,14,714.832872180594
"162","SMP4_Eastern_Horseshoe_Bat_Rhinolophus_megaphyllus_megaphyllus_Spp11303_RF_225m_vg94",1096254,9,659.739818935981
"163","SMP4_Eastern_Koel_Eudynamys_orientalis_Spp10347_RF_225m_vg94",126744.75,5,627.684588502577
"164","SMP4_Eastern_Pygmy-possum_Cercartetus_nanus_Spp11150_RF_225m_vg94",3771673.875,15,740.072385297309
"165","SMP4_Eastern_Reef_Egret_Egretta_sacra_Spp10191_RF_225m_vg94",30881.25,1,963.041207860331
"166","SMP4_Eastern_Rosella_Platycercus_eximius_Spp10288_RF_225m_vg94",11198467.6875,7,745.19758509142
"167","SMP4_Eastern_Small-eyed_Snake_Rhinoplocephalus_nigrescens_Spp12650_RF_225m_vg94",5221685.25,7,656.633018364822
"168","SMP4_Eastern_Snake-necked_Turtle_Chelodina_longicollis_Spp5134_RF_225m_vg94",78853.5,7,857.169528188043
"169","SMP4_Eastern_Spinebill_Acanthorhynchus_tenuirostris_Spp10591_RF_225m_vg94",5879536.875,17,783.088523241621
"170","SMP4_Eastern_Striped_Skink_Ctenotus_orientalis_Spp12936_RF_225m_vg94",802254.375,8,856.135639010982
"171","SMP4_Eastern_Three-lined_Skink_Acritoscincus_duperreyi_Spp12682_RF_225m_vg94",4475710.6875,14,618.12901576468
"172","SMP4_Eastern_Wallaroo_Macropus_robustus_robustus_Spp61266_RF_225m_vg94",413429.0625,2,746.233859010631
"173","SMP4_Eastern_Water_Skink_Eulamprus_quoyii_Spp12557_RF_225m_vg94",83789.4375,1,1030.53175050029
"174","SMP4_Eastern_Whipbird_Psophodes_olivaceus_Spp10421_RF_225m_vg94",3523763.25,8,707.392208954314
"175","SMP4_Eastern_Yellow_Robin_Eopsaltria_australis_Spp10392_RF_225m_vg94",6527202.75,11,761.52564406285
"176","SMP4_Elegant_Parrot_Neophema_elegans_Spp10307_RF_225m_vg94",438007.5,19,730.327509454181
"177","SMP4_Emu_Dromaius_novaehollandiae_Spp10001_RF_225m_vg94",1563289.875,28,729.778562764591
"178","SMP4_Eurasian_Coot_Fulica_atra_Spp10059_RF_225m_vg94",6860598.75,9,618.802225257183
"179","SMP4_Fairy_Martin_Petrochelidon_ariel_Spp10360_RF_225m_vg94",11025183.375,14,708.985222765358
"180","SMP4_Fan-tailed_Cuckoo_Cacomantis_flabelliformis_Spp10338_RF_225m_vg94",9939565.6875,17,709.472867842593
"181","SMP4_Fat-tailed_Dunnart_Sminthopsis_crassicaudata_Spp11072_RF_225m_vg94",7735545.5625,6,716.867855198736
"182","SMP4_Feathertail_Glider_Acrobates_pygmaeus_Spp11147_RF_225m_vg94",5732785.125,21,792.830965870826
"183","SMP4_Flame_Robin_Petroica_phoenicea_Spp10382_RF_225m_vg94",11524553.4375,6,727.407674073466
