"","TAXON_ID","Sci_Name","COMMON_NAME","TaxaGroup","TAXON_TYPE","Extinction_Risk","Sci_Name_Alt","score_mass","score_homerange","score_dispersal","score_habitat_breadth","score_foraging_stratum","score_torpor","score_diet_breadth","score_n_offspring","score_plant_diet","score_inv_diet","sum_vulnerability_score","number_traits","vulnerability_score"
"33",11398,"Rattus lutreolus","Swamp Rat","Mammals","Mammals","NotListed","Rattus lutreolus",0.66,NA,0.66,0,0.66,1,0,0.33,1,0,4.31,9,0.478888888888889
"34",11324,"Tadarida australis","White-striped Freetail Bat","Mammals","Bats","NotListed","Austronomus australis",0.66,NA,NA,0,0.66,1,1,0.66,0,1,4.98,8,0.6225
"35",11003,"Tachyglossus aculeatus","Short-beaked Echidna","Mammals","Mammals","NotListed","Tachyglossus aculeatus",0.66,0.66,0.33,0,0.66,0,1,1,0,1,5.31,10,0.531
"36",11242,"Wallabia bicolor","Black Wallaby","Mammals","Mammals","NotListed","Wallabia bicolor",0.33,0.66,0.33,0,0.66,1,1,0.66,1,0,5.64,10,0.564
"37",11129,"Pseudocheirus peregrinus","Common Ringtail Possum","Mammals","Mammals","NotListed","Pseudocheirus peregrinus",0.66,0.66,0.66,0,1,1,1,0.66,1,0,6.64,10,0.664
"38",11162,"Phascolarctos cinereus","Koala","Mammals","Mammals","NotListed","Phascolarctos cinereus",0.66,0.66,0.66,1,1,1,1,0.66,1,0,7.64,10,0.764
"39",11165,"Vombatus ursinus","Common Wombat","Mammals","Mammals","NotListed","Vombatus ursinus",0.33,0.66,0.33,1,0.66,1,1,0.66,1,0,6.64,10,0.664
"40",11372,"Falsistrellus tasmaniensis","Eastern False Pipistrelle","Mammals","Bats","NotListed","Falsistrellus tasmaniensis",0.66,NA,NA,1,0.66,0,1,0.66,0,1,4.98,8,0.6225
"41",5136,"Ornithorhynchus anatinus","Platypus","Mammals","Mammals","Victoria","Ornithorhynchus anatinus",0.66,0.66,0.33,1,0.66,1,1,0.66,0,1,6.97,10,0.697
"42",11147,"Acrobates pygmaeus","Feathertail Glider","Mammals","Mammals","NotListed","Acrobates pygmaeus",0.66,0.66,0.66,1,1,1,1,0.66,0,1,7.64,10,0.764
"43",11415,"Hydromys chrysogaster","Water Rat","Mammals","Mammals","NotListed","Hydromys chrysogaster",0.66,NA,0.33,0,0.66,1,1,0.33,0,1,4.98,9,0.553333333333333
"44",11097,"Perameles nasuta","Long-nosed Bandicoot","Mammals","Mammals","NotListed","Perameles nasuta",0.66,NA,0.66,0,0.66,1,1,0.33,0,1,5.31,9,0.59
"45",11133,"Petauroides volans","Greater Glider","Mammals","Mammals","Australia","Petauroides volans",0.66,0.66,0.66,1,1,1,1,0.66,1,0,7.64,10,0.764
