"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_supported","volant","hibernation_torpor","diet","diet_animals","diet_plants","diet_simple","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_curve_shape","fame_lm_slope","cluster"
"1",11150,"Cercartetus nanus","Cercartetus nanus","Cercartetus","Eastern Pygmy-possum","Mammals","NotListed","NotListed",60,0.006,0.226,"Arboreal",0,1,0,0,0,0,0,0,"Hollows",0,0,0,1,0,"0","1","Omnivore",0,0,"Omnivore",4,0,0,0,0,1,0,3.98,2,3765.583,7.96,3771673.875,15,740.072385297309,"Wet Temperate Forest",4,1.40779830575846,3.93421052631579,"Negative_Trough",-0.000139862404364462,1
"2",11152,"Cercartetus lepidus","Cercartetus lepidus","Cercartetus","Little Pygmy-possum","Mammals","NotListed","NotListed",10.015,0.01,0.084,"Arboreal",0,1,0,0,0,0,0,0,"Ground",0,0,1,0,0,"0","1","Omnivore",0,0,"Omnivore",4,0,0,0,0,1,0,3.665,1.55,2702.07,5.68075,803535.1875,5,1126.50895337512,"Dry Temperate Forest",7,2.01402948535644,NA,NA,NA,1
"3",11265,"Macropus giganteus","Macropus giganteus","Macropus","Eastern Grey Kangaroo","Mammals","NotListed","NotListed",41454.945,0.41,8.222,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,"0","0","Herbivore",0,1,"Herbivore",1,0,1,0,0,0,0,1,1,9125,1,10459454.0625,14,714.832872180594,"Dry Temperate Forest",8,0.49116522752944,NA,"Negative_Trough",-0.000259177213254242,2
"4",11263,"Macropus fuliginosus","Macropus fuliginosus","Macropus","Western Grey Kangaroo","Mammals","NotListed","NotListed",26907.35,2.52,6.482,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,"0","0","Herbivore",0,1,"Herbivore",1,0,1,0,0,0,0,1,1,8471.042,1,3646827.5625,6,726.038412498619,"Dry Temperate Forest",7,0.0902231943548976,NA,NA,NA,2
"5",11261,"Macropus rufogriseus","Macropus rufogriseus","Macropus","Red-necked Wallaby","Mammals","NotListed","NotListed",16525,0.12,4.958,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,"0","0","Herbivore",0,1,"Herbivore",1,0,1,0,0,0,0,1.005,1,6935,1.005,1504600.3125,9,779.131493652163,"Wet Temperate Forest",5,0.420301604978686,-2,"Negative_Trough",-0.000151989053801502,3
"6",11275,"Macropus rufus","Macropus rufus","Macropus","Red Kangaroo","Mammals","NotListed","NotListed",35729.195,4.08,7.577,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,"0","0","Herbivore",0,1,"Herbivore",1,0,1,0,0,0,0,1,1.36,10950,1.36,1235568.9375,7,809.732651804223,"Dry Cropping Zone",5,0.154823514888505,NA,NA,NA,2
"7",11379,"Vespadelus vulturnus","Vespadelus vulturnus","Vespadelus","Little Forest Bat","Mammals","NotListed","NotListed",3.77,0.08,0.856,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,"1","1","Invertivore",1,0,"Carnivore",1,0,0,1,0,0,0,1,1,212.917,1,9265458.375,14,677.699974651349,"Dry Temperate Forest",8,1.24997550049091,NA,NA,NA,4
"8",11378,"Vespadelus regulus","Vespadelus regulus","Vespadelus","Southern Forest Bat","Mammals","NotListed","NotListed",5.05,0.98,6.482,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,"1","1","Invertivore",1,0,"Carnivore",1,0,0,1,0,0,0,1,1,4067.368,1,7942763.8125,15,781.659933833875,"Wet Temperate Forest",8,1.16417004751464,NA,NA,NA,4
"9",11381,"Vespadelus darlingtoni","Vespadelus darlingtoni","Vespadelus","Large Forest Bat","Mammals","NotListed","NotListed",6.06,0.36,0.856,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,"1","1","Invertivore",1,0,"Carnivore",1,0,0,1,0,0,0,1,1.037,91.25,1.037,6888295.6875,15,756.5127179247,"Wet Temperate Forest",8,1.30869961638709,-0.611650485436893,NA,NA,4
"10",11028,"Antechinus agilis","Antechinus agilis","Antechinus","Agile Antechinus","Mammals","NotListed","NotListed",26.25,0.07,0.143,"Terrestrial",0,0,0,0,1,0,0,1,"Supported",0,0,0,0,1,"0","0","Invertivore",1,0,"Carnivore",1,0,0,1,0,0,0,7.5,1,1974.042,7.5,3712761.5625,17,765.412577934068,"Wet Temperate Forest",4,0.91800577300515,-1.07993138936535,"Positive_Peak",0.000150112425810716,5
"11",11033,"Antechinus swainsonii","Antechinus swainsonii","Antechinus","Dusky Antechinus","Mammals","NotListed","NotListed",58.69,0.98,1.62,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,"0","0","Invertivore",1,0,"Carnivore",1,0,0,1,0,0,0,8.12,1,1213.625,8.12,3328203.9375,12,779.965284606246,"Wet Temperate Forest",4,1.40509245637009,-2.11443932411674,NA,NA,5
"12",11027,"Antechinus flavipes","Antechinus flavipes","Antechinus","Yellow-footed Antechinus","Mammals","NotListed","NotListed",44.665,0.009,1.417,"Terrestrial",0,0,0,0,1,0,0,1,"Hollows",0,0,0,1,0,"0","0","Omnivore",0,0,"Omnivore",1,0,0,0,0,1,0,10,1,1423.5,10,1295255.8125,10,673.957846462216,"Temperate Cropping Zone",5,0.945651685233373,4.63076923076923,"Positive_Peak",0.000658587733540963,5
"13",11819,"Vespadelus baverstocki","Vespadelus baverstocki","Vespadelus","Inland Forest Bat","Mammals","NotListed","NotListed",4.3,0.03,0.35,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,"1","1","Invertivore",1,0,"Carnivore",1,0,0,1,0,0,0,1.755,1.155,908.091,2.027025,973017.5625,4,692.499424320871,"Dry Cropping Zone",4,1.49991545544188,NA,NA,NA,4
"14",11335,"Nyctophilus geoffroyi","Nyctophilus geoffroyi","Nyctophilus","Lesser Long-eared Bat","Mammals","NotListed","NotListed",8,0.006,0.866,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,"1","1","Invertivore",1,0,"Carnivore",1,0,0,1,0,0,0,1.783,1.143,2156.542,2.037969,11149705.6875,13,710.867599682215,"Dry Temperate Forest",8,1.35169911921386,NA,NA,NA,4
"15",11334,"Nyctophilus gouldi","Nyctophilus gouldi","Nyctophilus","Gould's Long-eared Bat","Mammals","NotListed","NotListed",11.32,0.03,0.191,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,"1","1","Invertivore",1,0,"Carnivore",1,0,0,1,0,0,0,1.77,1.685,365,2.98245,4960045.125,19,830.667791664382,"Wet Temperate Forest",7,1.8793865309812,NA,NA,NA,4
