"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_supported","volant","hibernation_torpor","diet","diet_animals","diet_plants","diet_simple","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_curve_shape","fame_lm_slope","cluster"
"80",62919,"Intellagama lesueurii howittii","Intellagama lesueurii","Intellagama","Gippsland Water Dragon","Reptiles","NotListed","NotListed",912.0108394,0.926818181818182,0.314090909090909,NA,"0","0","1",0,"0",0,"0","0",NA,NA,0,0,0,0,0,1,"Omnivore",0,0,"Omnivore",NA,0,0,NA,0,1,0,9.68,1.5,10220,14.52,2166193.125,2,662.165799709812,"Wet Temperate Forest",3,1.60075401140553,1,NA,NA,6
"81",12170,"Lialis burtonis","Lialis burtonis","Lialis","Burton's Snake-Lizard","Reptiles","NotListed","NotListed",22.90867653,0.5,0.2,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,1.85,3,4380,7.805,761870.8125,12,768.277632173393,"Dry Temperate Forest",7,1.00907865989705,-0.542553191489362,NA,NA,2
"82",12318,"Carlia tetradactyla","Carlia tetradactyla","Carlia","Southern Rainbow Skink","Reptiles","NotListed","NotListed",5.12861384,0.02,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,2,1.5,1095,6,1673298,1,654.005203376335,"Temperate Cropping Zone",4,0.887145156157334,NA,NA,NA,9
"83",12092,"Gehyra variegata","Gehyra variegata","Gehyra","Tree Dtella","Reptiles","NotListed","NotListed",7.413102413,0.1,0.05,NA,"0","1","0",0,"0",0,"1","0",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,1,1.5,9490,1.5,1119521.25,3,816.537045357005,"Dry Cropping Zone",5,-0.107563808832656,NA,NA,NA,4
"84",12655,"Demansia psammophis","Demansia psammophis","Demansia","Yellow-faced Whip Snake","Reptiles","NotListed","NotListed",252.3480772,2,0.5,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Carnivore",NA,NA,NA,NA,NA,0,NA,5.9,1,4380,15,1443683.25,1,1170.78074054833,"Dry Cropping Zone",6,1.34456082583975,2.73333333333333,NA,NA,15
"85",12722,"Suta suta","Suta suta","Suta","Curl Snake","Reptiles","NotListed","NotListed",73.79212212,0.5,0.5,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Carnivore",NA,NA,NA,NA,NA,1,NA,4.6,1,4380,6.723,1072531.125,9,804.088487046033,"Dry Cropping Zone",7,0.318076434437179,NA,NA,NA,15
"86",12105,"Heteronotia binoei","Heteronotia binoei","Heteronotia","Bynoe's Gecko","Reptiles","NotListed","NotListed",3.630780548,0.5,0.1,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,1.85,1.5,4964,2.775,782880.1875,2,777.375197429938,"Dry Cropping Zone",4,0.88385832588323,-0.30188679245283,NA,NA,5
"87",5135,"Emydura macquarii","Emydura macquarii","Emydura","Murray River Turtle","Reptiles","Victoria","Critically Endangered",4955,1.75873031788473,0.335422732224203,NA,"0","0","1",0,"0",0,"0","0",NA,NA,0,0,0,0,0,1,NA,0,0,"Omnivore",NA,NA,NA,NA,NA,1,NA,13.2,1.5,9307.5,14.52,13687410.375,5,549.798147226151,"Dry Temperate Forest",8,0.512952015596285,NA,NA,NA,17
"88",12159,"Delma impar","Delma impar","Delma","Striped Legless Lizard","Reptiles","Victoria","Endangered",6.165950019,0.1,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Omnivore",0,0,"Omnivore",NA,0,0,NA,0,1,0,2,1.5,7300,7.805,417160.125,6,603.436077010788,"Dry Temperate Forest",5,0.225877760401284,NA,NA,NA,1
"89",62969,"Morelia spilota metcalfei","Morelia spilota","Morelia","Carpet Python","Reptiles","Victoria","Endangered",21710.16364,25,1,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,16.2,0.415,9125,6.723,4437944.4375,6,649.567081383522,"Dry Cropping Zone",7,1.25955987524137,NA,NA,NA,14
"90",12734,"Vermicella annulata","Vermicella annulata","Vermicella","Bandy Bandy","Reptiles","Victoria","Endangered",252.3480772,0.3,0.1,NA,"0","0","0",0,"1",0,"0","0",NA,NA,0,0,0,0,0,1,NA,0,0,"Omnivore",NA,NA,NA,NA,NA,1,NA,7.7,3,2920,33.5,1937904.75,11,693.97829974007,"Dry Cropping Zone",7,2.09947970456374,2.15853658536585,NA,NA,16
"91",12287,"Varanus rosenbergi","Varanus rosenbergi","Varanus","Rosenberg's Goanna","Reptiles","Victoria","Critically Endangered",3019.952,20,2,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,8.25,1,8030,14.52,407121.1875,4,677.12157227578,"Dry Temperate Forest",4,1.45609855905948,-0.742857142857144,NA,NA,7
"92",12525,"Morethia adelaidensis","Morethia adelaidensis","Morethia","Samphire Skink","Reptiles","Victoria","Endangered",4.168693835,0.05,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,3.3,2.5,2190,6.9475,172195.875,6,913.145225194564,"Arid Chenopod Shrubland Transition",6,NA,NA,NA,NA,9
"93",12666,"Drysdalia mastersii","Drysdalia mastersii","Drysdalia","Masters' Snake","Reptiles","Victoria","Critically Endangered",27.8072729,0.2,0.2,NA,"0","0","0",0,"1",0,"0","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Omnivore",NA,NA,NA,NA,NA,0,NA,2.8,1,4745,9,643312.125,1,657.778877614098,"Dry Temperate Forest",4,2.22877326248133,-0.831349206349207,NA,NA,11
"94",12150,"Aprasia striolata","Aprasia striolata","Aprasia","Striped Worm-Lizard","Reptiles","Victoria","Endangered",8.128305162,0.02,0.05,NA,"0","0","0",0,"1",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,2,1,730,1.5,163164.375,5,874.981721035851,"Temperate Cropping Zone",4,1.25905862141058,0.766666666666667,NA,NA,10
"95",12492,"Lerista timida","Lerista timida","Lerista","Dwarf Burrowing Skink","Reptiles","Victoria","Endangered",1.122018,0.02,0.03,NA,"0","0","0",0,"1",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,2,1,730,4.05,229478.0625,5,875.157923097505,"Arid Chenopod Shrubland Transition",5,0.962842751523116,NA,NA,NA,13
