"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_branch","volant","hibernation_torpor","diet","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_lm_slope","smp_cluster","fame_cluster"
"15",10163,"Calidris acuminata","Calidris acuminata","Calidris","Sharp-tailed Sandpiper","Birds","NotListed","NotListed",66.1,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Ground","0","0","1","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",4,1,6935,4,2091101.0625,17,801.847130783863,"3",8,0,NA,NA,"10","8"
"16",10476,"Acanthiza apicalis","Acanthiza apicalis","Acanthiza","Inland Thornbill","Birds","NotListed","NotListed",7.6,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",1,1,3923.75,4.9,3552467.625,8,715.03795935707,"14",8,0.5,NA,7.18623316678045e-05,"24","9"
"17",10162,"Calidris ruficollis","Calidris ruficollis","Calidris","Red-necked Stint","Birds","NotListed","NotListed",26.8,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Ground","0","0","1","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",4,1.5,1855.416666545,6,98749.125,9,1499.95186905889,"1",7,1,NA,NA,"12","10"
"18",10978,"Calidris melanotos","Calidris melanotos","Calidris","Pectoral Sandpiper","Birds","NotListed","NotListed",79.7,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Ground","0","0","1","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",4,1,2159.583333455,4,160881.1875,9,1018.89206993729,"1",5,0,NA,NA,"13","11"
"19",10161,"Calidris ferruginea","Calidris ferruginea","Calidris","Curlew Sandpiper","Birds","Australia","Critically Endangered",58.1,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Ground","0","0","1","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",4,1,7190.5,3,77587.875,6,1414.90401970602,"1",7,0,NA,NA,"12","10"
"20",10164,"Calidris canutus","Calidris canutus","Calidris","Red Knot","Birds","Australia","Endangered",141.9,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Ground","0","0","1","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",3.935,1,9733.33333455,3.935,70581.375,3,1313.97913681957,"1",7,0,NA,NA,"12","10"
"21",10166,"Calidris alba","Calidris alba","Calidris","Sanderling","Birds","NotListed","NotListed",51.7,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Ground","0","0","1","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",4,1.5,6782.91666545,6,18184.5,1,780.250644190666,"1",3,NA,NA,NA,"14","12"
"22",10965,"Calidris subminuta","Calidris subminuta","Calidris","Long-toed Stint","Birds","NotListed","NotListed",30.2,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Ground","0","0","1","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",4,1.5,5292.5,4,4460.0625,0,1819.72517189317,"1",6,NA,NA,NA,"13","11"
"23",10239,"Falco berigora","Falco berigora","Falco","Brown Falcon","Birds","NotListed","NotListed",587,NA,NA,"Generalist","0","0","0","0","0",1,"0","0","Branch","0","0","0","0","1","1","0","Vertivore",NA,"1","1","0","1","0","0",2.895,1,8760,4,17286316.3125,3,629.857250161546,"1",8,0,3,NA,"15","13"
"24",10240,"Falco cenchroides","Falco cenchroides","Falco","Nankeen Kestrel","Birds","NotListed","NotListed",170.5,NA,NA,"Generalist","0","0","0","0","0",1,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",4,1,6205,8,17194183.875,6,617.580178857566,"1",8,0,NA,NA,"15","14"
