"","TaxonCode","group","meanben_firefreq","FutureImpact"
"382","10662","Birds",1.27181112396785,2
"383","10305","Birds",0.574868218769136,NA
"384","10302","Birds",1.75735605459818,7
"385","10303","Birds",0.808732629002723,NA
"386","11455","Mammals",1.37546401961527,-0.387523826026685
"387","10248","Birds",1.65613874964738,2.18125
"388","12462","Reptiles",1.03872977331683,NA
"389","19009","Reptiles",0.621081468893668,NA
"390","10645","Birds",0.117378547986527,NA
"391","12681","Reptiles",0.402701024729739,NA
"392","10150","Birds",-0.718293919834796,NA
"393","61332","Mammals",2.64630475599999,3.08156028368794
"394","10450","Birds",1.11737854798653,NA
"395","10671","Birds",1.16277824949423,-2.66666666666667
"396","10216","Birds",0.56581069143296,-2.23529411764706
"397","10405","Birds",1.4584988512927,NA
"398","10401","Birds",0.36397173311996,3
"399","10402","Birds",1.91128978997098,-1
"400","10137","Birds",0.315257136788485,NA
"401","10014","Birds",2.20120112505974,NA
"402","12726","Reptiles",0.863125781698344,NA
"403","12813","Reptiles",1.67598228711878,-0.049295774647887
"404","12698","Reptiles",0.784888412274553,-0.692913385826772
"405","10978","Birds",0.00105775144209999,NA
"406","10020","Birds",0.0631828911793142,NA
"407","11136","Mammals",1.2762385735361,1.34097140618879
"408","11138","Mammals",1.71330002210015,-1.36196319018405
"409","11137","Mammals",1.3028508316121,1.85096326740303
"410","10359","Birds",0.664388920172735,NA
"411","10380","Birds",0.838332979757264,NA
"412","10381","Birds",1.18818016147437,6
"413","10383","Birds",0.822351146581576,-1
"414","10096","Birds",-0.130961048894486,NA
"415","10099","Birds",0.666652647271095,NA
"416","10034","Birds",1.75574670355284,NA
"417","10594","Birds",1.1065863119602,5
"418","10593","Birds",1.26849879361007,NA
"419","10632","Birds",0.513248085444846,NA
"420","62919","Reptiles",1.60075401140553,1
"421","10694","Birds",1.20120112505974,NA
"422","10130","Birds",0.315257136788485,NA
"423","13131","Amphibians",0.597358706965875,NA
"424","10181","Birds",1.08061938208397,NA
"425","60284","Birds",0.953904016349981,NA
"426","5136","Mammals",0.921491501545068,NA
"427","10585","Birds",2.09437425964687,NA
"428","63914","Amphibians",0.336123477682312,NA
"429","10313","Birds",1.44729103744828,2.59090909090909
"430","10060","Birds",1.67750916091659,NA
"431","12204","Reptiles",0.363684938197901,NA
"432","10278","Birds",1.5810966192791,NA
"433","10277","Birds",0.56412134441006,-2.03896103896104
"434","10445","Birds",2.04776657294443,1.04444444444444
"435","10443","Birds",-0.130961048894486,NA
"436","10050","Birds",0.781536455492305,NA
"437","10051","Birds",-0.35032920981693,NA
"438","12693","Reptiles",0.804803459139654,NA
"439","12993","Reptiles",0.0387297733168306,NA
"440","11457","Mammals",0.554036182813,-1.23349995371656
"441","11458","Mammals",1.51154472712042,-1.21146456692913
"442","13125","Amphibians",1.73031342026354,-1.1997947314403
"443","10421","Birds",0.649670790183071,3
"444","10679","Birds",1.0937483086631,NA
"445","10058","Birds",0.0463359415575543,NA
"446","10497","Birds",1.54721303971031,NA
"447","12586","Reptiles",0.881608936894049,1
"448","12588","Reptiles",0.863125781698344,0.184210526315789
"449","12599","Reptiles",1.03872977331683,-0.256410256410256
"450","12603","Reptiles",0.659553257357883,-6.87628865979381
"451","11398","Mammals",1.75816025645825,NA
"452","10325","Birds",0.557047573102533,0
"453","10019","Birds",0.8092642006574,NA
"454","10148","Birds",0.367124581829956,NA
"455","11261","Mammals",0.420301604978686,-2
"456","12464","Reptiles",1.8980693234611,NA
"457","10603","Birds",1.22193216713255,NA
"458","10369","Birds",1.20120112505974,NA
"459","10364","Birds",1.75574670355284,NA
"460","10384","Birds",1.49382248922849,3
"461","12287","Reptiles",1.45609855905948,-0.742857142857144
"462","10129","Birds",-0.044220438673355,NA
"463","13151","Amphibians",1.39631640979336,1.36929595827901
"464","11321","Mammals",1.26834856755486,NA
"465","10326","Birds",0.0463359415575548,NA
"466","10256","Birds",0.367124581829955,NA
"467","10488","Birds",1.16277824949423,NA
"468","11003","Mammals",0.605866538490508,NA
"469","10465","Birds",0.836757896035348,NA
"470","11069","Mammals",1.51553362617715,-0.234353710600418
"471","13158","Amphibians",0.807638401984776,1.47619047619048
"472","10253","Birds",1.73886559537096,2.20438311688312
"473","10242","Birds",0.0187987173446977,NA
"474","13182","Amphibians",0.166040644228287,NA
"475","11378","Mammals",1.16417004751464,NA
"476","12994","Reptiles",1.13573667362817,NA
"477","12059","Reptiles",0.969490688481365,-1.34512976070105
"478","10466","Birds",0.328550994381585,NA
"479","10680","Birds",0.117378547986527,NA
"480","10230","Birds",0.82528660715539,2.13432835820895
"481","10173","Birds",-4.33967176950616,NA
"482","10526","Birds",1.95390401634998,NA
"483","10180","Birds",1.41732727625506,6.59259259259259
"484","10500","Birds",1.62108146889367,NA
"485","12583","Reptiles",0.723323175778761,2.42241379310345
"486","10529","Birds",0.417327276255059,NA
"487","11324","Mammals",1.17646920853053,-1.05797101449275
"488","10653","Birds",0.751816710869779,NA
"489","10160","Birds",0.184587015517048,NA
"490","10115","Birds",-1.32249083908341,NA
"491","12138","Reptiles",1.03599783450835,6
"492","12579","Reptiles",1.48476577871273,2.29559748427673
"493","12580","Reptiles",-0.136874218301657,NA
"494","12194","Reptiles",0.612533992498451,NA
"495","12429","Reptiles",1.92073393668955,7
"496","10254","Birds",-0.154023838442471,NA
"497","13931","Amphibians",1.19447328294203,NA
"498","12922","Reptiles",-0.0768397233107418,NA
"499","10249","Birds",0.162778249494226,-2
"500","12271","Reptiles",1.40270102472974,NA
"501","62925","Reptiles",0.650391878362669,NA
"502","18999","Reptiles",0.135736673628169,NA
"503","12452","Reptiles",0.920733936689551,NA
"504","10357","Birds",0.201201125059738,NA
"505","62430","Reptiles",0.973008268143599,NA
"506","10358","Birds",0.833607877734221,NA
"507","10617","Birds",1.20120112505974,NA
"508","10114","Birds",0.0674970648798969,NA
"509","10189","Birds",0.201201125059738,NA
"510","10330","Birds",2.1705662396517,NA
"511","10535","Birds",1.15537918337447,NA
"512","10430","Birds",0.920733936689551,NA
"513","10044","Birds",0.625672347654331,NA
"514","60566","Birds",0.201201125059739,2
"515","10635","Birds",0.201201125059739,NA
"516","10471","Birds",1.15537918337447,NA
"517","10877","Birds",-0.778695062073644,NA
