"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_branch","volant","hibernation_torpor","diet","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_lm_slope"
"16",11808,"Mormopterus sp. 4","Mormopterus planiceps","Mormopterus","Southern Freetail Bat","Mammals","NotListed","NotListed",9.24,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,1,0,"Invertivore",1,0,0,1,0,0,0,0.99,1,2369.458,0.99,8011877.0625,6,688.84185651401,3,8,1.57142857142857,0,NA
"17",11138,"Petaurus breviceps","Petaurus breviceps","Petaurus","Sugar Glider","Mammals","NotListed","NotListed",127.55,0.01,0.342,"Arboreal",0,1,0,0,0,0,0,0,"Hollows",0,0,0,1,0,0,0,"Infloresence",3,0,0,0,1,0,0,2,1.3,6497,2.6,2443187.8125,33,753.364447761212,1,7,1.71428571428571,-2,0.000618121208173606
"18",11364,"Scotorepens balstoni","Scotorepens balstoni","Scotorepens","Inland Broad-nosed Bat","Mammals","NotListed","NotListed",11.7,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,1,1,"Invertivore",1,0,0,1,0,0,0,1.5,1.06,3540.5,1.59,7380811.125,4,633.114185139343,3,8,1.25,NA,NA
"19",11839,"Mormopterus sp. 2","Mormopterus norfolkensis","Mormopterus","Eastern Freetail Bat","Mammals","NotListed","NotListed",8,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,1,0,"Invertivore",1,0,0,1,0,0,0,1,1.036,2555,1.036,9523964.8125,7,662.664128062327,1,8,1.2,NA,NA
"20",11811,"Scotorepens orion","Scotorepens orion","Scotorepens","Eastern Broad-nosed Bat","Mammals","NotListed","NotListed",11.765,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,1,1,"Invertivore",1,0,0,1,0,0,0,1.5,1.068,3540.5,1.602,3013351.875,7,664.25813814179,4,4,1,2,0.00189181896006253
"21",11136,"Petaurus australis australis","Petaurus australis","Petaurus","Yellow-bellied Glider","Mammals","Australia","Vulnerable",572.5,0.36,0.78,"Arboreal",0,1,0,0,0,0,0,0,"Hollows",0,0,0,1,0,0,0,"Infloresence",3,0,0,0,1,0,0,1,1,5840,1,2762029.125,7,759.36343162481,4,4,1.09090909090909,1.08333333333333,0.000981884840138457
"22",11809,"Mormopterus sp. 3","Ozimops petersi","Mormopterus","Inland Freetail Bat","Mammals","NotListed","NotListed",NA,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,1,0,"Invertivore",1,0,0,1,0,0,0,1.109,1.047,8527.022,1.161123,852869.25,4,795.116694709619,14,8,0.833333333333333,NA,NA
"23",11072,"Sminthopsis crassicaudata","Sminthopsis crassicaudata","Sminthopsis","Fat-tailed Dunnart","Mammals","Victoria","Vulnerable",15.98,NA,0.856,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,0,1,"Invertivore",1,0,0,1,0,0,0,7,2,1852.375,14,7735545.5625,6,716.867855198736,3,7,1,NA,0.000259117132541777
"24",11151,"Cercartetus concinnus minor","Cercartetus concinnus","Cercartetus","Western Pygmy-possum","Mammals","NotListed","NotListed",40,NA,0.18,"Arboreal",0,1,0,0,0,0,0,0,"Branch",0,0,0,0,1,0,1,"Infloresence",4,0,0,0,1,0,0,4.3,1.5,3765.583,6.45,820327.5,7,1044.09875513821,1,7,1.94117647058824,-2.35,-0.000595868537611195
"25",11061,"Sminthopsis murina murina","Sminthopsis murina","Sminthopsis","Common Dunnart","Mammals","Victoria","Vulnerable",16.35,NA,0.866,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,0,0,"Invertivore",1,0,0,1,0,0,0,8,2,730,16,3016136.25,16,889.521302193127,14,8,0.909090909090909,-2.88888888888889,0.000111006066922244
