"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_branch","volant","hibernation_torpor","diet","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_lm_slope","fame_cluster","smp_cluster"
"48",12209,"Amphibolurus norrisi","Amphibolurus norrisi","Amphibolurus","Norris's Dragon","Reptiles","NotListed","NotListed",54.95408739,0.2,0.2,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Omnivore",NA,0,0,0,0,1,0,4.8,2,2555,9.6,712263.375,4,853.385900712927,"1",7,1.36363636363636,NA,NA,2,6
"49",12076,"Diplodactylus tessellatus","Diplodactylus tessellatus","Diplodactylus","Tessellated Gecko","Reptiles","NotListed","NotListed",4.073802778,0.02,0.07,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,2,2,1095,4,996558.1875,11,815.072074762069,"14",6,0,NA,0.000395485167677813,8,4
"50",63941,"Rankinia diemensis (Grampians)","Rankinia diemensis","Rankinia","Mountain Dragon Grampians form","Reptiles","Victoria","Critically Endangered",19.498446,0.926818181818182,0.314090909090909,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,6.6,2,3650,13.2,2136.375,0,908.531798469739,"3",2,2,NA,NA,8,11
"51",12699,"Pseudonaja textilis","Pseudonaja textilis","Pseudonaja","Eastern Brown Snake","Reptiles","NotListed","NotListed",1683.493303,5,2,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,16,2,6205,32,15481828.6875,3,663.073809854219,"1",8,1,NA,0.000294651637903579,6,15
"52",12451,"Lampropholis guichenoti","Lampropholis guichenoti","Lampropholis","Garden Skink","Reptiles","NotListed","NotListed",2.630267992,0.04,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,3.8,2,1825,7.6,6878919.9375,14,753.696645773962,"4",8,0.333333333333333,NA,0.000565005396955378,3,13
"53",12682,"Acritoscincus duperreyi","Acritoscincus duperreyi","Acritoscincus","Eastern Three-lined Skink","Reptiles","NotListed","NotListed",6.456542,0.02,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,5.8,1,2555,5.8,4475710.6875,14,618.12901576468,"1",5,2,NA,0.000386591623287203,1,1
"54",12973,"Austrelaps superbus","Austrelaps superbus","Austrelaps","Lowland Copperhead","Reptiles","NotListed","NotListed",905.087473,5,2,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,16.5,0.85,4745,14.025,6433607.25,3,654.542272769317,"1",4,0.5,2.66666666666667,0.000259987055578306,5,1
"55",12450,"Lampropholis delicata","Lampropholis delicata","Lampropholis","Delicate Skink","Reptiles","NotListed","NotListed",3.090295433,0.04,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Invertivore",NA,0,0,1,0,0,0,4.7,2,1460,9.4,4721054.625,8,638.407000966911,"4",5,6,NA,0.000378059648320565,3,5
"56",12177,"Pogona barbata","Pogona barbata","Pogona","Bearded Dragon","Reptiles","Victoria","Vulnerable",691.8309709,0.3,0.1,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Omnivore",NA,0,0,0,0,1,0,20.5,3,4745,61.5,4409721,7,650.684609379753,"3",8,1,0.4,0.000474246287266903,12,13
"57",12665,"Drysdalia coronoides","Drysdalia coronoides","Drysdalia","White-lipped Snake","Reptiles","NotListed","NotListed",36.92177072,0.5,0.5,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",NA,1,0,0,0,0,0,5.4,2,730,13.2,6381853.3125,7,699.494570670908,"1",4,NA,NA,0.000236352113083795,1,1
