"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_branch","volant","hibernation_torpor","diet","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_lm_slope","smp_cluster","fame_cluster"
"1",11150,"Cercartetus nanus","Cercartetus nanus","Cercartetus","Eastern Pygmy-possum","Mammals","NotListed","NotListed",60,0.006,0.226,"Arboreal",0,1,0,0,0,0,0,0,"Hollows",0,0,0,1,0,"0","1","Omnivore",4,0,0,0,0,1,0,3.98,2,3765.583,7.96,3771673.875,15,740.072385297309,"4",4,2.23529411764706,4,-0.000139862404364462,1,1
"2",11152,"Cercartetus lepidus","Cercartetus lepidus","Cercartetus","Little Pygmy-possum","Mammals","NotListed","NotListed",10.015,0.36,0.084,"Arboreal",0,1,0,0,0,0,0,0,"Ground",0,0,1,0,0,"0","1","Omnivore",4,0,0,0,0,1,0,3.665,1.55,2702.07,5.68075,803535.1875,5,1126.50895337512,"1",7,1.80952380952381,NA,-0.000200095842483341,2,2
"3",11265,"Macropus giganteus","Macropus giganteus","Macropus","Eastern Grey Kangaroo","Mammals","NotListed","NotListed",41454.945,0.41,8.222,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,"0","0","Herbivore",1,0,1,0,0,0,0,1,1,9125,1,10459454.0625,14,714.832872180594,"1",8,0.5,NA,-0.000259177213254242,3,3
"4",11263,"Macropus fuliginosus","Macropus fuliginosus","Macropus","Western Grey Kangaroo","Mammals","NotListed","NotListed",26907.35,2.52,6.482,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,"0","0","Herbivore",1,0,1,0,0,0,0,1,1,8471.042,1,3646827.5625,6,726.038412498619,"1",7,0.545454545454545,NA,0.000103129613776511,3,3
"5",11261,"Macropus rufogriseus","Macropus rufogriseus","Macropus","Red-necked Wallaby","Mammals","NotListed","NotListed",16525,0.12,4.958,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,"0","0","Herbivore",1,0,1,0,0,0,0,1.005,1,6935,1.005,1504600.3125,9,779.131493652163,"4",5,1.14285714285714,-2,-0.000151989053801502,3,3
"6",11275,"Macropus rufus","Macropus rufus","Macropus","Red Kangaroo","Mammals","NotListed","NotListed",35729.195,4.08,7.577,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,"0","0","Herbivore",1,0,1,0,0,0,0,1,1.36,10950,1.36,1235568.9375,7,809.732651804223,"14",5,0.333333333333333,NA,9.07256113447673e-05,3,3
"7",11379,"Vespadelus vulturnus","Vespadelus vulturnus","Vespadelus","Little Forest Bat","Mammals","NotListed","NotListed",3.77,0.01,1.031,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,"1","1","Invertivore",1,0,0,1,0,0,0,1,1,212.917,1,9265458.375,14,677.699974651349,"1",8,1.4,NA,0.00129072840287342,4,4
"8",11378,"Vespadelus regulus","Vespadelus regulus","Vespadelus","Southern Forest Bat","Mammals","NotListed","NotListed",5.05,0,1.552,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,"1","1","Invertivore",1,0,0,1,0,0,0,1,1,4067.368,1,7942763.8125,15,781.659933833875,"4",8,1.33333333333333,NA,0.00129072840287342,4,4
"9",11381,"Vespadelus darlingtoni","Vespadelus darlingtoni","Vespadelus","Large Forest Bat","Mammals","NotListed","NotListed",6.06,0.006,0.856,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,"1","1","Invertivore",1,0,0,1,0,0,0,1,1.037,91.25,1.037,6888295.6875,15,756.5127179247,"4",8,1.45454545454545,-1,0.00129072840287342,4,4
"10",11028,"Antechinus agilis","Antechinus agilis","Antechinus","Agile Antechinus","Mammals","NotListed","NotListed",26.25,1.36,0.143,"Terrestrial",0,0,0,0,1,0,0,1,"Branch",0,0,0,0,1,"0","0","Invertivore",1,0,0,1,0,0,0,7.5,1,1974.042,7.5,3712761.5625,17,765.412577934068,"4",4,1.25,-0.5,0.000150112425810716,5,5
